# event_ticker=KXATPCHALLENGERMATCH-26APR07AGAROD
# final_score=5-7 6-2 6-1
# score_resolution=7-5 2-6 1-6
# match_winner=Franco Agamenone
# fav_player=Chris Rodesch
# dog_player=Franco Agamenone
# kalshi_date=2026-04-07
timestamp,Chris Rodesch,Franco Agamenone
2026-04-07T09:20:00Z,81.29,22.00
2026-04-07T09:21:00Z,82.00,25.64
2026-04-07T09:23:00Z,83.80,24.00
2026-04-07T09:24:00Z,83.00,17.00
2026-04-07T09:25:00Z,83.00,21.00
2026-04-07T09:27:00Z,77.00,21.00
2026-04-07T09:28:00Z,74.27,31.98
2026-04-07T09:29:00Z,61.81,35.28
2026-04-07T09:30:00Z,58.84,39.81
2026-04-07T09:31:00Z,67.00,30.99
2026-04-07T09:32:00Z,64.00,30.99
2026-04-07T09:33:00Z,72.75,30.99
2026-04-07T09:34:00Z,74.00,24.00
2026-04-07T09:35:00Z,77.00,28.00
2026-04-07T09:36:00Z,77.00,21.29
2026-04-07T09:37:00Z,82.37,16.34
2026-04-07T09:38:00Z,87.59,11.27
2026-04-07T09:39:00Z,90.00,11.27
2026-04-07T09:40:00Z,90.00,11.27
2026-04-07T09:41:00Z,90.00,11.33
2026-04-07T09:42:00Z,85.41,13.39
2026-04-07T09:43:00Z,83.00,14.85
2026-04-07T09:44:00Z,79.14,19.90
2026-04-07T09:45:00Z,79.14,25.07
2026-04-07T09:46:00Z,76.00,25.07
2026-04-07T09:47:00Z,78.00,25.07
2026-04-07T09:48:00Z,78.00,25.07
2026-04-07T09:49:00Z,78.00,26.00
2026-04-07T09:50:00Z,74.99,24.51
2026-04-07T09:51:00Z,72.79,24.51
2026-04-07T09:52:00Z,68.47,33.97
2026-04-07T09:53:00Z,68.47,35.00
2026-04-07T09:54:00Z,68.47,35.00
2026-04-07T09:55:00Z,66.00,33.00
2026-04-07T09:56:00Z,66.00,36.71
2026-04-07T09:58:00Z,71.00,31.16
2026-04-07T09:59:00Z,71.00,26.00
2026-04-07T10:00:00Z,74.00,27.31
2026-04-07T10:01:00Z,70.43,33.42
2026-04-07T10:02:00Z,66.00,33.42
2026-04-07T10:03:00Z,66.00,36.85
2026-04-07T10:04:00Z,64.00,38.00
2026-04-07T10:05:00Z,64.00,36.88
2026-04-07T10:06:00Z,60.54,41.83
2026-04-07T10:07:00Z,60.54,43.89
2026-04-07T10:08:00Z,60.54,39.00
2026-04-07T10:09:00Z,59.00,41.71
2026-04-07T10:11:00Z,61.00,40.38
2026-04-07T10:12:00Z,62.00,40.38
2026-04-07T10:14:00Z,64.77,37.17
2026-04-07T10:15:00Z,61.11,39.36
2026-04-07T10:16:00Z,60.11,41.98
2026-04-07T10:17:00Z,59.95,40.93
2026-04-07T10:18:00Z,61.00,41.00
2026-04-07T10:19:00Z,61.39,38.69
2026-04-07T10:20:00Z,56.05,42.90
2026-04-07T10:21:00Z,62.28,42.62
2026-04-07T10:22:00Z,63.53,35.09
2026-04-07T10:23:00Z,65.43,34.98
2026-04-07T10:24:00Z,67.05,38.53
2026-04-07T10:25:00Z,64.97,35.14
2026-04-07T10:26:00Z,61.89,37.87
2026-04-07T10:27:00Z,53.42,46.01
2026-04-07T10:28:00Z,49.71,51.53
2026-04-07T10:29:00Z,40.67,60.98
2026-04-07T10:30:00Z,34.51,67.28
2026-04-07T10:31:00Z,32.55,68.00
2026-04-07T10:32:00Z,23.92,74.63
2026-04-07T10:33:00Z,28.88,74.42
2026-04-07T10:34:00Z,35.34,65.54
2026-04-07T10:35:00Z,43.41,62.09
2026-04-07T10:36:00Z,29.83,73.03
2026-04-07T10:37:00Z,24.58,76.29
2026-04-07T10:38:00Z,23.00,80.28
2026-04-07T10:39:00Z,25.47,78.00
2026-04-07T10:40:00Z,19.87,83.36
2026-04-07T10:41:00Z,8.59,92.00
2026-04-07T10:42:00Z,7.88,93.57
2026-04-07T10:43:00Z,4.17,97.31
2026-04-07T10:44:00Z,3.17,98.74
2026-04-07T10:45:00Z,6.13,95.82
2026-04-07T10:46:00Z,3.99,94.73
2026-04-07T10:47:00Z,3.03,96.81
2026-04-07T10:48:00Z,1.85,98.41
2026-04-07T10:49:00Z,1.00,98.26
2026-04-07T10:50:00Z,1.00,99.00
2026-04-07T10:51:00Z,1.00,99.00
2026-04-07T10:52:00Z,1.00,99.00
2026-04-07T10:53:00Z,1.00,99.00
